# Weak-coupling, clean limit, coherence length from Hc2
#
# Parameters in the region a clean low-Tc film occupies. Single-band s-wave,
# weak-coupling, no nodes, comfortably strong type-II. The coupling ratio is
# the BCS value, so the analysis reports WEAK_COUPLING_BCS. The scatter on
# Jc is deliberately small, 0.2 %, because that is what it takes to tell the
# clean limit from the dirty limit at all; this fixture therefore pins a
# decisive model preference. See strong_coupling_dirty_kappa for what
# happens at realistic scatter.
#
# Generated by tests/data/generate.py from these values:
#     Tc            = 9.2 K
#     lambda(0)     = 250.0 nm
#     2 D(0)/kB Tc  = 3.53   ->  Delta(0) = 1.3993 meV
#     kappa         = 45.0
#     gap model     = CLEAN
#     Jc scatter    = 0.2 % (1 sigma, log-normal)
#
# A correct analysis recovers those values. That is the whole point:
# no measured film has a known lambda(0) to check a fit against.
#
#              T_K      Jc_A_per_cm2             Hc2_T
              0.46       3.60509e+06            10.663
          0.845524       3.61231e+06            10.663
           1.23105        3.6149e+06           10.6628
           1.61657       3.59908e+06           10.6592
            2.0021       3.58599e+06           10.6388
           2.38762       3.57154e+06           10.5795
           2.77314       3.51038e+06           10.4596
           3.15867       3.41616e+06           10.2653
           3.54419       3.26707e+06           9.99144
           3.92971       3.10195e+06           9.63999
           4.31524       2.89734e+06           9.21691
           4.70076       2.66564e+06           8.72991
           5.08629        2.4268e+06           8.18693
           5.47181       2.17265e+06           7.59511
           5.85733       1.90538e+06           6.96032
           6.24286       1.63624e+06           6.28701
           6.62838       1.36826e+06           5.57819
            7.0139       1.10577e+06           4.83554
           7.39943            846454            4.0596
           7.78495            608634           3.25004
           8.17048            386955           2.40607
             8.556            196047           1.52726
